cell_type,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
CD8 exhausted/dysfunctional,GZMA,29.182943,4.492487,3.1923670246910105e-187,5.02984945145454e-184,0.6792602377807133,0.37580448065173117
CD8 exhausted/dysfunctional,GZMB,28.896936,4.8577824,1.3046056007341666e-183,1.9870013036248513e-180,0.5487450462351388,0.2424439918533605
CD8 memory-like,IL7R,41.18431,5.2534223,0.0,0.0,0.6058002148227712,0.22928540113985094
CD8 memory-like,TCF7,36.239967,3.9573998,1.429793973245707e-287,9.332878032220405e-284,0.5355531686358754,0.18833844804910127
CD8 memory-like,MALAT1,36.105946,0.8363375,1.8294608941097445e-285,1.0448965896707806e-281,1.0,0.9993862341078474
CD8 memory-like,RPS3,33.323063,0.97170836,1.7895438488949082e-243,8.176783754370614e-240,0.9911922663802363,0.9853572994300746
CD8 memory-like,RPL13,32.765778,0.8428808,1.8099751151819424e-235,7.51830754208121e-232,0.9944146079484425,0.992284085927225
CD8 memory-like,RPL13A,31.627169,0.80357987,1.5626862858254214e-219,5.492481674764243e-216,0.9972073039742213,0.9950898728627795
CD8 memory-like,RPL3,30.681747,0.9051079,9.972085755909224e-207,3.037630282393362e-203,0.9877551020408163,0.982639193336256
CD8 memory-like,RPS12,30.16239,1.1185904,7.37911926662552e-200,1.9833336325332545e-196,0.964983888292159,0.9475668566418237
CD8 memory-like,EEF1A1,29.702257,0.6182505,7.180345817982566e-194,1.7267597953434704e-190,0.9980665950590762,0.9990355107409031
CD8 memory-like,RPL10,29.373257,0.6485678,1.206192805893477e-189,2.7556680843442373e-186,0.9961331901181525,0.9966681280140289
CD8 memory-like,RPS14,28.942022,0.85748047,3.536279388427323e-184,7.694270372191487e-181,0.9761546723952739,0.9714160455940377
CD8 memory-like,RPS27,27.858728,0.8913958,8.443937307376228e-171,1.5432815337945385e-167,0.9888292158968851,0.9805348531345901
CD8 memory-like,RPLP2,26.219366,0.87496376,1.5984125365309052e-151,2.7049876155248196e-148,0.9583243823845328,0.947829899167032
CD8 memory-like,RPS6,26.010511,0.73513144,3.7661637169420425e-149,6.145841162661278e-146,0.9849624060150376,0.9817623849188952
CD8 memory-like,RPL23A,25.66218,0.8380051,3.0918594785017414e-145,4.871491147989709e-142,0.9774436090225563,0.966418237615081
CD8 memory-like,RPL41,25.193186,0.5611844,4.757280430031696e-140,7.245655246966942e-137,0.9976369495166487,0.9962297238053486
CD8 memory-like,PPP2R5C,25.015495,1.7913829,4.146886867332905e-138,6.112243701360487e-135,0.8940923737916219,0.8298114861902675
CD8 memory-like,RPS27A,23.551855,0.71639097,1.201616141066207e-122,1.5251179088221426e-119,0.9570354457572503,0.953266111354669
CD8 memory-like,RPS18,23.414955,0.8523788,3.0094189857441053e-121,3.71638844044918e-118,0.9619763694951665,0.9494081543182814
CD8 memory-like,RPS3A,23.349342,0.61070174,1.3995060620780842e-120,1.682795552328206e-117,0.9828141783029001,0.9842174484875055
CD8 memory-like,RPS4X,23.031155,0.6802218,2.2725705247074524e-117,2.6625203183316134e-114,0.9752953813104189,0.9701885138097326
CD8 memory-like,STAT4,22.86094,2.504155,1.1375326308201665e-115,1.2994035241858762e-112,0.6307196562835661,0.4403331871985971
CD8 memory-like,EEF1A1P5,22.8284,0.66205025,2.395624442892916e-115,2.6697773669430027e-112,0.9862513426423201,0.9849188952213941
CD8 memory-like,TC2N,22.72977,2.7753677,2.2752496611223025e-114,2.4752549408571486e-111,0.4371643394199785,0.22551512494519949
CD8 memory-like,RPL10P3,22.324411,0.79075915,2.140908560487534e-110,2.2749393940882883e-107,0.9385606874328679,0.9131082858395441
