Symbol,Manning_Name,Group,Family,SubFamily,UniProtID,Entrez,Synonyms,Kinase_Name,found,needs_denovo_design
RPS6KA5,Domain2_MSK1,CAMK,RSKb,MSKb,O75582,9252,MSK1,Ribosomal protein S6 kinase alpha-5,True,False
RPS6KA6,Domain2_RSK4,CAMK,RSKb,RSKb,Q9UK32,27330,RSK4,Ribosomal protein S6 kinase alpha-6,True,False
STK33,STK33,CAMK,STK33,,Q9BYT3,65975,,Serine/threonine-protein kinase 33,True,False
STK40,SgK495,CAMK,SgK495,,Q8N2I9,83931,SGK495 SHIK,Serine/threonine-protein kinase 40,True,False
TSSK1B,TSSK1,CAMK,TSSK,,Q9BXA7,83942,SPOGA1 SPOGA4 STK22A STK22D TSSK1,Testis-specific serine/threonine-protein kinase 1,True,False
TSSK2,TSSK2,CAMK,TSSK,,Q96PF2,23617,DGSG SPOGA2 STK22B,Testis-specific serine/threonine-protein kinase 2,True,False
TSSK3,TSSK3,CAMK,TSSK,,Q96PN8,81629,SPOGA3 STK22C,Testis-specific serine/threonine-protein kinase 3,True,False
TSSK4,TSSK4,CAMK,TSSK,,Q6SA08,283629,C14orf20 STK22E TSSK5,Testis-specific serine/threonine-protein kinase 4,True,False
TSSK6,SSTK,CAMK,TSSK,,Q9BXA6,83983,SSTK,Testis-specific serine/threonine-protein kinase 6,True,False
TRIB1,Trb1,CAMK,Trbl,,Q96RU8,10221,C8FW GIG2 TRB1,Tribbles homolog 1,True,False
TRIB2,Trb2,CAMK,Trbl,,Q92519,28951,TRB2,Tribbles homolog 2,True,False
TRIB3,Trb3,CAMK,Trbl,,Q96RU7,57761,C20orf97 NIPK SKIP3 TRB3,Tribbles homolog 3,True,False
KALRN,Trad,CAMK,Trio,,O60229,8997,DUET DUO HAPIP TRAD,HCG2039851,True,False
OBSCN,Obscn,CAMK,Trio,,Q5VST9,,KIAA1556 KIAA1639,Obscurin,True,False
SPEG,SPEG,CAMK,Trio,,Q15772,10290,APEG1 KIAA1297,Striated muscle preferentially expressed protein kinase,True,False
TRIO,Trio,CAMK,Trio,,O75962,7204,,Triple functional domain protein,True,False
